c0,c1,c2,c3,c4,c5,c6,c7,c8,c9
4,42,80,16,18,40,80,33,33,18
80,89,0,30,48,20,74,65,51,99
19,93,70,14,38,83,60,48,60,91
3,95,96,64,31,82,66,74,80,13
94,22,55,27,3,67,16,23,79,46
71,57,0,24,2,76,95,92,46,32
63,43,54,50,40,31,98,66,61,95
10,90,65,83,13,43,23,23,70,62
59,45,85,76,87,31,24,84,38,53
71,81,44,88,90,66,8,80,20,94
41,12,83,50,96,54,48,41,99,3
96,3,12,40,26,35,63,73,1,86
89,8,29,90,0,62,94,6,31,5
65,14,77,75,30,29,45,57,10,59
47,66,26,62,9,78,94,8,84,83
68,13,74,41,52,24,44,89,83,71
20,62,80,25,53,40,88,94,27,20
66,66,80,37,95,28,13,0,19,19
63,70,25,40,77,15,3,10,85,34
38,59,30,79,98,46,28,74,35,22
32,32,73,3,66,21,11,83,66,21
69,72,16,83,52,42,23,16,12,63
41,56,57,32,95,98,82,43,86,57
83,88,9,69,65,75,15,51,60,73
99,39,88,24,83,94,41,14,41,75
65,25,13,39,66,60,0,50,54,41
16,10,81,92,89,93,41,37,98,1
76,45,9,95,30,20,47,27,39,29
38,84,46,91,82,14,94,59,29,46
54,38,12,44,12,28,13,82,94,83
81,84,1,40,55,51,48,20,9,64
58,18,21,12,87,78,56,67,43,23
64,92,60,42,76,14,96,26,44,43
69,15,7,15,16,24,54,63,31,13
77,51,89,53,83,10,4,13,36,9
59,74,84,56,32,88,99,80,29,1
52,24,60,10,89,48,81,40,33,13
53,66,95,55,23,64,3,2,39,69
3,28,59,34,10,76,53,76,0,29
41,74,17,90,5,83,84,10,54,18
40,40,72,42,25,37,68,97,91,93
48,0,28,6,61,7,83,61,13,2
40,97,84,34,34,66,75,39,73,51
96,11,55,46,8,90,22,0,61,16
75,22,46,4,5,41,33,19,65,13
78,77,11,44,2,79,42,59,33,2
70,27,90,44,1,64,15,31,86,59
74,17,2,98,2,55,25,36,32,78
25,47,5,38,31,86,46,43,62,35
67,18,64,34,12,76,85,93,19,73
39,28,68,15,25,68,39,14,95,93
99,19,50,52,64,38,46,71,62,42
42,26,56,0,56,89,35,71,45,48
99,94,55,48,45,17,24,82,10,75
82,87,49,6,87,42,18,55,7,67
10,83,27,86,79,47,79,54,45,4
47,18,32,96,28,27,56,87,49,93
95,82,83,12,28,95,58,46,74,59
23,51,33,2,24,98,23,32,23,6
87,41,91,31,32,77,44,30,51,38
86,88,19,33,8,69,30,27,65,27
53,10,88,83,0,43,89,4,9,67
79,84,4,82,79,37,97,3,50,8
48,87,2,87,57,8,61,11,35,77
24,92,74,75,50,3,49,52,7,38
99,42,63,69,38,54,36,84,62,11
16,71,86,34,69,58,76,51,86,26
61,80,18,79,48,24,20,63,11,94
19,61,64,73,34,74,87,16,94,35
16,97,38,47,21,50,54,65,15,88
22,18,35,41,45,34,21,40,84,9
51,92,94,49,30,77,96,16,0,42
74,54,64,40,99,85,76,7,31,69
33,56,42,6,99,21,54,18,42,60
47,52,5,79,95,47,95,31,12,79
46,3,91,39,96,69,34,75,83,75
85,7,45,30,34,95,86,65,62,71
15,53,81,72,76,66,31,30,20,33
9,74,93,29,28,96,45,58,19,27
50,42,77,90,92,49,77,91,12,13
69,48,47,50,91,86,38,83,29,81
68,79,43,97,4,75,21,28,70,92
33,63,39,17,0,80,16,88,51,2
17,86,20,63,18,0,81,23,74,38
76,24,66,1,85,21,95,6,31,74
64,45,34,16,16,33,72,42,91,81
3,43,89,56,9,69,96,86,32,33
33,63,58,66,1,90,66,29,35,75
60,25,39,64,57,68,40,72,98,54
58,29,53,52,39,22,9,88,66,98
74,55,27,77,35,51,72,35,36,3
64,57,1,90,31,89,91,94,20,5
97,91,84,19,59,46,69,76,99,98
36,88,13,60,68,12,95,85,19,40
94,76,92,80,71,49,82,3,26,6
72,14,33,11,97,53,83,95,46,31
91,5,90,42,21,25,14,49,14,8
76,14,19,69,1,86,14,91,48,60
26,69,79,2,2,83,10,12,34,37
75,78,97,47,47,4,43,55,0,33
43,60,54,57,4,39,61,93,69,79
82,98,87,69,63,95,95,35,46,57
54,83,16,76,95,43,2,72,72,83
73,3,60,60,89,2,73,4,80,20
53,78,29,65,26,36,76,12,17,81
35,85,51,96,62,42,8,75,70,92
84,22,52,34,16,23,5,92,78,65
69,55,57,42,8,32,72,11,77,70
77,82,5,95,17,19,77,68,96,75
60,22,42,59,54,77,83,6,78,7
42,91,20,35,2,12,85,15,20,16
27,9,17,6,71,54,40,49,5,62
41,2,96,11,99,76,6,99,87,5
88,31,38,10,35,97,26,53,48,22
85,95,30,54,77,77,27,32,80,5
21,9,52,59,34,74,92,71,29,28
10,23,59,96,52,96,8,11,6,0
11,48,0,40,6,96,49,98,97,23
29,10,65,74,84,94,59,63,20,62
82,50,6,62,64,37,90,70,58,98
70,75,59,75,87,82,27,4,43,90
57,27,98,98,9,47,37,2,15,61
45,64,86,15,83,9,24,51,42,66
71,8,21,13,27,33,74,36,26,37
33,79,67,45,69,57,81,26,60,82
44,49,58,74,1,4,12,43,89,67
49,28,67,20,59,51,65,83,65,74
69,64,73,97,21,85,5,10,57,78
43,63,36,72,95,66,82,41,62,95
73,84,8,92,22,0,87,1,99,36
42,47,72,30,29,6,14,0,72,11
92,96,89,99,68,22,38,57,20,72
55,13,46,98,68,23,84,89,94,25
85,74,40,62,95,71,36,87,92,43
57,9,68,10,39,91,46,6,62,89
3,90,33,33,77,48,51,1,64,36
82,23,63,98,31,57,54,65,36,11
83,96,90,71,9,6,38,47,63,35
6,16,55,36,83,23,84,21,75,76
42,40,48,86,97,7,25,98,70,34
21,31,7,57,51,60,29,81,91,98
6,99,8,22,71,45,67,34,12,4
10,33,67,30,70,57,84,22,86,15
82,59,95,99,72,59,72,67,74,80
75,96,5,82,16,37,74,53,63,32
7,93,88,36,4,9,23,81,9,81
69,62,11,82,44,85,31,82,28,11
75,37,46,65,72,16,80,34,65,92
9,44,28,42,6,38,70,2,64,43
92,72,31,58,75,67,23,68,26,9
13,42,78,99,96,30,13,90,35,23
16,71,15,92,7,57,85,39,68,23
55,34,35,53,12,65,90,45,94,63
17,48,85,7,69,33,95,46,41,72
87,10,34,50,98,62,15,66,85,63
81,3,89,37,32,0,13,77,27,88
12,96,51,25,91,82,99,57,17,48
96,71,54,92,44,14,37,91,0,26
50,38,67,18,89,29,56,54,8,4
67,39,11,55,66,82,59,78,54,7
64,33,45,54,66,31,30,43,35,67
43,45,63,20,67,14,12,21,63,68
72,97,67,54,93,46,9,66,27,95
1,32,35,56,70,13,68,31,92,49
85,63,79,64,52,89,57,37,49,42
41,51,95,36,10,85,58,98,66,74
61,43,61,98,24,65,12,38,43,26
35,57,37,1,44,97,64,89,56,67
